profile_env	Berlin_Sewage	Bogota_Sewage	Hanoi_Sewage	Hong_Kong_Sewage	Ilorin_Sewage	Kuala_Lumpur_Sewage	Santiago_Sewage	Singapore_Sewage	Taipei_Sewage	Vienna_Sewage	Lisbon_Sewage	Oslo_Sewage	Rio_de_Janeiro_Sewage	Sofia_Sewage	Barcelona_Sewage	Porto_Sewage	Barcelona_Transit	Berlin_Transit	Bogota_Transit	Hanoi_Transit	Hong_Kong_Transit	Ilorin_Transit	Kuala_Lumpur_Transit	Lisbon_Transit	Oslo_Transit	Porto_Transit	Rio_de_Janeiro_Transit	Santiago_Transit	Singapore_Transit	Sofia_Transit	Taipei_Transit	Vienna_Transit
Berlin_Sewage	0	0.41935483870967744	0.47058823529411764	0.43750000000000006	0.34782608695652173	0.46874999999999994	0.4230769230769231	0.45454545454545453	0.43750000000000006	0.29629629629629634	0.3076923076923077	0.4210526315789474	0.4444444444444445	0.4347826086956522	0.3684210526315789	0.4	0.65	0.6538461538461539	0.5454545454545454	0.53125	0.5769230769230769	0.4799999999999999	0.3870967741935484	0.5217391304347826	0.7142857142857143	0.5714285714285715	0.4583333333333333	0.7000000000000001	0.761904761904762	0.5416666666666666	0.6086956521739131	0.4799999999999999
Bogota_Sewage	0.41935483870967744	0	0.0909090909090909	0.03225806451612903	0.41935483870967744	0.06451612903225806	0.32258064516129037	0.0625	0.1515151515151515	0.21875	0.28125	0.6333333333333334	0.2903225806451613	0.43333333333333335	0.6	0.3548387096774193	0.7741935483870968	0.5625	0.6129032258064516	0.34285714285714286	0.5454545454545454	0.46874999999999994	0.1515151515151515	0.6363636363636364	0.8125000000000001	0.6774193548387097	0.5454545454545454	0.8064516129032258	0.8064516129032258	0.6060606060606061	0.65625	0.5588235294117647
Hanoi_Sewage	0.47058823529411764	0.0909090909090909	0	0.06060606060606061	0.42424242424242425	0.0909090909090909	0.33333333333333337	0.030303030303030307	0.06060606060606061	0.23529411764705882	0.29411764705882354	0.6666666666666666	0.30303030303030304	0.48484848484848486	0.6363636363636364	0.4117647058823529	0.7941176470588235	0.6	0.6470588235294118	0.3055555555555556	0.5428571428571428	0.47058823529411764	0.17142857142857143	0.6285714285714286	0.8285714285714285	0.7058823529411764	0.5428571428571428	0.8235294117647058	0.8235294117647058	0.6	0.6857142857142856	0.5555555555555556
Hong_Kong_Sewage	0.43750000000000006	0.03225806451612903	0.06060606060606061	0	0.43750000000000006	0.03225806451612903	0.34375000000000006	0.03125	0.12121212121212122	0.2424242424242424	0.30303030303030304	0.6451612903225806	0.3125	0.45161290322580644	0.6129032258064516	0.375	0.7812500000000001	0.5757575757575757	0.625	0.3611111111111111	0.5588235294117647	0.48484848484848486	0.17647058823529413	0.6470588235294118	0.8181818181818181	0.6875000000000001	0.5588235294117647	0.8125000000000001	0.8125000000000001	0.6176470588235294	0.6666666666666666	0.5714285714285715
Ilorin_Sewage	0.34782608695652173	0.41935483870967744	0.42424242424242425	0.43750000000000006	0	0.41935483870967744	0.36	0.40625	0.3870967741935484	0.41379310344827586	0.42857142857142855	0.5	0.4444444444444445	0.56	0.5238095238095238	0.4615384615384615	0.7727272727272727	0.6538461538461539	0.6666666666666666	0.43333333333333335	0.5769230769230769	0.5384615384615384	0.3870967741935484	0.6399999999999999	0.7727272727272727	0.6956521739130436	0.6296296296296297	0.761904761904762	0.761904761904762	0.6	0.6666666666666666	0.4799999999999999
Kuala_Lumpur_Sewage	0.46874999999999994	0.06451612903225806	0.0909090909090909	0.03225806451612903	0.41935483870967744	0	0.32258064516129037	0.0625	0.1515151515151515	0.2727272727272727	0.33333333333333337	0.6333333333333334	0.34375000000000006	0.43333333333333335	0.6	0.3548387096774193	0.7741935483870968	0.5625	0.6129032258064516	0.34285714285714286	0.5454545454545454	0.46874999999999994	0.2058823529411765	0.6363636363636364	0.8125000000000001	0.6774193548387097	0.5882352941176471	0.8064516129032258	0.8064516129032258	0.6060606060606061	0.65625	0.5588235294117647
Santiago_Sewage	0.4230769230769231	0.32258064516129037	0.33333333333333337	0.34375000000000006	0.36	0.32258064516129037	0	0.3125	0.34375000000000006	0.41935483870967744	0.3793103448275862	0.5652173913043478	0.39285714285714285	0.375	0.5217391304347826	0.3461538461538462	0.7499999999999999	0.5384615384615384	0.6	0.3870967741935484	0.5714285714285715	0.48148148148148145	0.2903225806451613	0.5769230769230769	0.8	0.6799999999999999	0.5714285714285715	0.7916666666666666	0.7916666666666666	0.5384615384615384	0.6538461538461539	0.4230769230769231
Singapore_Sewage	0.45454545454545453	0.0625	0.030303030303030307	0.03125	0.40625	0.0625	0.3125	0	0.0909090909090909	0.2647058823529412	0.2727272727272727	0.65625	0.33333333333333337	0.46874999999999994	0.625	0.393939393939394	0.787878787878788	0.5882352941176471	0.6363636363636364	0.33333333333333337	0.5294117647058824	0.5	0.14705882352941177	0.6571428571428571	0.8235294117647058	0.6969696969696969	0.5714285714285715	0.8181818181818181	0.8181818181818181	0.5882352941176471	0.676470588235294	0.5428571428571428
Taipei_Sewage	0.43750000000000006	0.1515151515151515	0.06060606060606061	0.12121212121212122	0.3870967741935484	0.1515151515151515	0.34375000000000006	0.0909090909090909	0	0.1875	0.25	0.6451612903225806	0.25806451612903225	0.45161290322580644	0.6129032258064516	0.375	0.7812500000000001	0.6176470588235294	0.625	0.2647058823529412	0.5151515151515151	0.43750000000000006	0.17647058823529413	0.6060606060606061	0.8181818181818181	0.6875000000000001	0.5151515151515151	0.8125000000000001	0.8125000000000001	0.5757575757575757	0.7058823529411764	0.5294117647058824
Vienna_Sewage	0.29629629629629634	0.21875	0.23529411764705882	0.2424242424242424	0.41379310344827586	0.2727272727272727	0.41935483870967744	0.2647058823529412	0.1875	0	0.2666666666666667	0.5925925925925926	0.33333333333333337	0.42857142857142855	0.5555555555555556	0.2857142857142857	0.7499999999999999	0.5666666666666667	0.5714285714285715	0.33333333333333337	0.5	0.3571428571428571	0.2424242424242424	0.5	0.7931034482758621	0.6428571428571429	0.4482758620689655	0.7857142857142858	0.7857142857142858	0.5666666666666667	0.6666666666666666	0.5161290322580645
