city	sewage_total	transit_total	shared	sewage_only	transit_only
Barcelona	12	8	6	6	2
Berlin	19	16	9	10	7
Bogota	30	13	12	18	1
Hanoi	33	28	25	8	3
Hong_Kong	31	18	15	16	3
Ilorin	19	19	12	7	7
Kuala_Lumpur	30	31	27	3	4
Lisbon	25	15	12	13	3
Oslo	11	8	5	6	3
Porto	21	11	10	11	1
Rio_de_Janeiro	23	18	15	8	3
Santiago	22	7	5	17	2
Singapore	32	7	6	26	1
Sofia	17	16	12	5	4
Taipei	31	13	10	21	3
Vienna	27	19	15	12	4
