profile_env	PCoA1	PCoA2	environment	city
Lisbon_Sewage	-0.2477526533940847	-0.19455003219783973	Sewage	Lisbon
Barcelona_Sewage	-0.06246176906198836	-0.35664086092796726	Sewage	Barcelona
Berlin_Sewage	-0.1297327898601487	-0.2338397184599358	Sewage	Berlin
Hong_Kong_Sewage	-0.47435165040330046	0.22461961004817452	Sewage	Hong_Kong
Porto_Sewage	-0.21376736752474232	-0.21237841761343806	Sewage	Porto
Santiago_Sewage	-0.20949942010782974	-0.18365412320772162	Sewage	Santiago
Singapore_Sewage	-0.47203791100368364	0.21524709103591463	Sewage	Singapore
Sofia_Sewage	-0.10109577227620994	-0.37771920209982984	Sewage	Sofia
Taipei_Sewage	-0.4389901928205311	0.19176475226737877	Sewage	Taipei
Vienna_Sewage	-0.1961695824626768	-0.20690904144111374	Sewage	Vienna
Bogota_Sewage	-0.4361682715342799	0.2692805014745732	Sewage	Bogota
Hanoi_Sewage	-0.454619960963089	0.25120638940456635	Sewage	Hanoi
Ilorin_Sewage	-0.09525596959638345	-0.12241452816730794	Sewage	Ilorin
Kuala_Lumpur_Sewage	-0.4268547446023736	0.16130212262978716	Sewage	Kuala_Lumpur
Oslo_Sewage	-0.030679461113517666	-0.3643123064456001	Sewage	Oslo
Rio_de_Janeiro_Sewage	-0.1448323868301796	-0.0746901332469036	Sewage	Rio_de_Janeiro
Barcelona_Transit	0.37835847490388336	0.18959245957854623	Transit	Barcelona
Berlin_Transit	0.3297265613493638	0.2235965863266261	Transit	Berlin
Bogota_Transit	0.34811901540024914	0.13578305524977857	Transit	Bogota
Hanoi_Transit	-0.021422020427676547	0.10186150188705023	Transit	Hanoi
Hong_Kong_Transit	0.3191015594611176	-0.04314553582996463	Transit	Hong_Kong
Ilorin_Transit	0.12674612451575862	-0.05984480035634878	Transit	Ilorin
Kuala_Lumpur_Transit	-0.049990738318234154	0.08959792007475562	Transit	Kuala_Lumpur
Lisbon_Transit	0.20833913409906113	0.07545877692526104	Transit	Lisbon
Oslo_Transit	0.3724547016909107	0.05421181245356045	Transit	Oslo
Porto_Transit	0.3180692704697791	0.1669336161256559	Transit	Porto
Rio_de_Janeiro_Transit	0.22289898100611905	0.03169356734795382	Transit	Rio_de_Janeiro
Santiago_Transit	0.38035865735857544	0.2517515702248633	Transit	Santiago
Singapore_Transit	0.30440562999420057	-0.008562303446293426	Transit	Singapore
Sofia_Transit	0.32815829323571677	-0.05376453403118201	Transit	Sofia
Taipei_Transit	0.29883556639976844	-0.08196407889016867	Transit	Taipei
Vienna_Transit	0.2701106924164253	-0.05951171669283164	Transit	Vienna
