profile_env	Lisbon_Sewage	Barcelona_Sewage	Berlin_Sewage	Hong_Kong_Sewage	Porto_Sewage	Santiago_Sewage	Singapore_Sewage	Sofia_Sewage	Taipei_Sewage	Vienna_Sewage	Bogota_Sewage	Hanoi_Sewage	Ilorin_Sewage	Kuala_Lumpur_Sewage	Oslo_Sewage	Rio_de_Janeiro_Sewage	Barcelona_Transit	Berlin_Transit	Bogota_Transit	Hanoi_Transit	Hong_Kong_Transit	Ilorin_Transit	Kuala_Lumpur_Transit	Lisbon_Transit	Oslo_Transit	Porto_Transit	Rio_de_Janeiro_Transit	Santiago_Transit	Singapore_Transit	Sofia_Transit	Taipei_Transit	Vienna_Transit
Lisbon_Sewage	0	0.6017699115044248	0.624	0.6627450980392157	0.5267175572519084	0.6390977443609023	0.6627450980392157	0.603448275862069	0.6415929203539823	0.60431654676259	0.7345132743362832	0.7061224489795919	0.7388059701492536	0.6372549019607843	0.6666666666666666	0.6875000000000001	0.9065420560747663	0.9159663865546218	0.8761061946902654	0.8028169014084507	0.8389830508474576	0.7540983606557378	0.767605633802817	0.8482142857142857	0.888888888888889	0.8584905660377359	0.8264462809917354	0.9150943396226415	0.8867924528301886	0.8487394957983194	0.8547008547008548	0.811965811965812
Barcelona_Sewage	0.6017699115044248	0	0.6444444444444445	0.8218623481781376	0.5700000000000001	0.7403846153846154	0.8122448979591836	0.4657534246575342	0.8046511627906977	0.6415094339622641	0.8761904761904762	0.8441558441558442	0.7473684210526316	0.8	0.5217391304347826	0.7446808510638298	0.864406779661017	0.8873239436619719	0.8153846153846155	0.8235294117647058	0.7916666666666666	0.725	0.8317757009345794	0.8382352941176471	0.8333333333333333	0.8166666666666667	0.7567567567567568	0.8983050847457628	0.8275862068965517	0.7746478873239436	0.8	0.8133333333333332
Berlin_Sewage	0.624	0.6444444444444445	0	0.7651821862348178	0.6106194690265486	0.6574074074074074	0.7651821862348178	0.6153846153846153	0.7511520737327189	0.6017699115044248	0.798076923076923	0.7782608695652173	0.7333333333333334	0.7395833333333334	0.6966292134831461	0.7058823529411764	0.8750000000000001	0.8928571428571428	0.8333333333333333	0.8245614035087719	0.8117647058823529	0.7526881720430108	0.8017241379310345	0.8375	0.8493150684931507	0.8194444444444444	0.7954545454545454	0.9027777777777779	0.8611111111111112	0.7976190476190476	0.7901234567901235	0.8023255813953488
Hong_Kong_Sewage	0.6627450980392157	0.8218623481781376	0.7651821862348178	0	0.7063492063492063	0.728744939271255	0.20454545454545456	0.8008130081300814	0.35205992509363293	0.7176470588235294	0.36964980544747084	0.2625482625482625	0.8063241106719368	0.36254980079681276	0.8367346938775511	0.7613168724279835	0.9669421487603307	0.9561752988047809	0.9473684210526316	0.7928286852589642	0.937007874015748	0.86	0.7580645161290321	0.9262295081967213	0.9588477366255144	0.946058091286307	0.9130434782608696	0.970954356846473	0.95850622406639	0.9328063241106719	0.9404761904761905	0.9206349206349206
Porto_Sewage	0.5267175572519084	0.5700000000000001	0.6106194690265486	0.7063492063492063	0	0.5811965811965811	0.680161943319838	0.6	0.6905829596412556	0.6124031007751938	0.7395348837209302	0.6926406926406927	0.7874015748031497	0.6512820512820513	0.6568627450980392	0.6923076923076924	0.9032258064516129	0.9038461538461539	0.8333333333333333	0.8076923076923077	0.8155339805825244	0.7314814814814815	0.7969924812030075	0.8	0.8829787234042553	0.8351648351648352	0.8018867924528301	0.9130434782608696	0.8804347826086956	0.8155339805825244	0.8446601941747572	0.8190476190476191
Santiago_Sewage	0.6390977443609023	0.7403846153846154	0.6574074074074074	0.728744939271255	0.5811965811965811	0	0.7183673469387756	0.59375	0.7096774193548387	0.6746031746031746	0.7303921568627451	0.722466960352423	0.7543859649122806	0.7193877551020408	0.6702127659574468	0.7064220183486238	0.9156626506024096	0.9263157894736842	0.8636363636363636	0.7777777777777778	0.8421052631578948	0.7745098039215685	0.7666666666666667	0.8409090909090908	0.8928571428571428	0.880952380952381	0.8383838383838385	0.9268292682926829	0.8902439024390244	0.8297872340425533	0.8494623655913979	0.8210526315789474
Singapore_Sewage	0.6627450980392157	0.8122448979591836	0.7651821862348178	0.20454545454545456	0.680161943319838	0.7183673469387756	0	0.7959183673469388	0.33333333333333337	0.7125984251968503	0.39463601532567055	0.3018867924528302	0.8015873015873015	0.34274193548387094	0.8414634146341463	0.7714285714285715	0.9669421487603307	0.9561752988047809	0.9344262295081968	0.788	0.9328063241106719	0.8508064516129031	0.7630522088353413	0.9349593495934959	0.9588477366255144	0.9416666666666667	0.9043824701195219	0.970954356846473	0.9628099173553718	0.9285714285714286	0.9362549800796812	0.9206349206349206
Sofia_Sewage	0.603448275862069	0.4657534246575342	0.6153846153846153	0.8008130081300814	0.6	0.59375	0.7959183673469388	0	0.786046511627907	0.6296296296296297	0.8571428571428571	0.8217391304347825	0.71875	0.7659574468085107	0.5070422535211268	0.7291666666666666	0.890625	0.8933333333333333	0.8260869565217391	0.8190476190476191	0.7866666666666667	0.7073170731707317	0.81651376146789	0.8142857142857143	0.8615384615384616	0.8636363636363636	0.7532467532467533	0.921875	0.8387096774193548	0.7702702702702703	0.7945205479452054	0.7922077922077922
Taipei_Sewage	0.6415929203539823	0.8046511627906977	0.7511520737327189	0.35205992509363293	0.6905829596412556	0.7096774193548387	0.33333333333333337	0.786046511627907	0	0.6919642857142857	0.40909090909090906	0.3622047244094488	0.7706422018348624	0.4159663865546218	0.8433179723502304	0.7405660377358491	0.9463414634146341	0.9395348837209303	0.9238095238095239	0.8044444444444444	0.9174311926605504	0.8271028037383178	0.7713004484304933	0.9245283018867925	0.9420289855072463	0.9268292682926829	0.8790697674418605	0.9560975609756098	0.9414634146341464	0.9124423963133641	0.9311926605504587	0.908256880733945
Vienna_Sewage	0.60431654676259	0.6415094339622641	0.6017699115044248	0.7176470588235294	0.6124031007751938	0.6746031746031746	0.7125984251968503	0.6296296296296297	0.6919642857142857	0	0.7465437788018433	0.7427385892116184	0.7398373983739838	0.693069306930693	0.62	0.7777777777777778	0.9042553191489361	0.8942307692307693	0.8585858585858585	0.7812500000000001	0.8285714285714285	0.7567567567567568	0.732283464566929	0.8613861386138613	0.8842105263157896	0.8854166666666666	0.780952380952381	0.913978494623656	0.8817204301075269	0.8173076923076924	0.8349514563106796	0.8095238095238095
Bogota_Sewage	0.7345132743362832	0.8761904761904762	0.798076923076923	0.36964980544747084	0.7395348837209302	0.7303921568627451	0.39463601532567055	0.8571428571428571	0.40909090909090906	0.7465437788018433	0	0.3811475409836066	0.7772277227722773	0.4721030042918455	0.888888888888889	0.7512690355329951	0.9627659574468085	0.949238578680203	0.9378238341968913	0.7843137254901961	0.9408866995073892	0.8725490196078431	0.7475247524752475	0.9384615384615386	0.9578947368421054	0.9301075268817204	0.9268292682926829	0.9623655913978495	0.962962962962963	0.9408866995073892	0.9504950495049505	0.9203980099502488
Hanoi_Sewage	0.7061224489795919	0.8441558441558442	0.7782608695652173	0.2625482625482625	0.6926406926406927	0.722466960352423	0.3018867924528302	0.8217391304347825	0.3622047244094488	0.7427385892116184	0.3811475409836066	0	0.7965367965367965	0.39419087136929465	0.8846153846153846	0.7633928571428572	0.9633027522935781	0.9606986899563319	0.936936936936937	0.7709251101321586	0.9162995594713657	0.8451327433628318	0.7543859649122806	0.923076923076923	0.954337899543379	0.9400921658986175	0.908695652173913	0.967741935483871	0.9539170506912442	0.9210526315789475	0.9434782608695652	0.9170305676855895
