feature	Lisbon	Barcelona	Berlin	Hong_Kong	Porto	Santiago	Singapore	Sofia	Taipei	Vienna	Bogota	Hanoi	Ilorin	Kuala_Lumpur	Oslo	Rio_de_Janeiro
Class A betalactamases,CTX	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Class B betalactamases,AIM	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
Class C betalactamase regulator,AMPCR	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0
Class C betalactamases,BLAEC	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Class C betalactamases,MCA	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0
Class D betalactamases,OXA	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0
Colistin phosphoethanolamine transferase,ARNT	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0
Colistin phosphoethanolamine transferase,EPTB	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0
Colistin phosphoethanolamine transferase,ICR	1	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1
Colistin phosphoethanolamine transferase,MCR	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Colistin-resistant mutant,LPXC	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Colistin-resistant mutant,PMRAR	0	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0
Copper resistance protein,COPA	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0
Copper resistance protein,COPB	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Copper resistance protein,COPC	1	0	1	0	1	1	1	1	1	1	0	0	0	1	1	1
Copper resistance protein,COPD	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0
Copper resistance protein,CUEO	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	1
Copper resistance protein,CUTA	1	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0
Copper resistance protein,CUTC	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0
Copper resistance protein,CUTE	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0
Copper resistance protein,CUTF	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	1
Copper resistance protein,PCOA	1	0	1	1	1	0	1	0	1	0	0	1	0	1	0	1
Copper resistance protein,PCOB	0	1	0	1	1	0	1	0	1	1	0	0	0	1	0	1
Copper resistance protein,PCOC	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0
Copper resistance protein,PCOD	1	0	1	1	0	0	1	0	1	0	1	1	0	1	0	0
Copper resistance protein,TCRA	1	1	0	1	1	0	1	1	0	1	0	0	0	0	1	0
Copper resistance protein,TCRB	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
Copper resistance protein,TCRY	1	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0
Copper resistance protein,TCRZ	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0
Copper resistance regulator,BHSA	0	0	0	0	1	0	0	0	1	0	1	1	1	1	0	0
Copper resistance regulator,COMR	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0
Copper resistance regulator,COPR	1	0	1	1	1	1	1	1	0	1	0	0	1	1	0	0
Copper resistance regulator,COPS	1	0	1	0	1	1	1	1	0	1	0	1	0	1	1	0
Copper resistance regulator,CUER	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0
Copper resistance regulator,PCOR	1	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0
Copper resistance regulator,PCOS	1	0	0	1	1	0	1	0	1	0	1	1	0	1	1	0
Dihydrofolate reductase,DFRA	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1
Drug and biocide ABC efflux pumps,YOGI	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0
Drug and biocide ABC efflux regulator,PHOB	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0
Drug and biocide MATE efflux pumps,MDTK	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Drug and biocide MFS efflux pumps,BCR	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0
Drug and biocide MFS efflux pumps,EMRA	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0
Drug and biocide MFS efflux pumps,EMRB	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0
Drug and biocide MFS efflux pumps,EMRD	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0
Drug and biocide MFS efflux pumps,EMRK	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0
Drug and biocide MFS efflux pumps,EMRY	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0
Drug and biocide MFS efflux pumps,KDEA	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0
