"Sample1","Sample2","shared_ARGs_a","unique_ARGs_sample1_b","unique_ARGs_sample2_c","Total_Jaccard","Turnover","Nestedness","City1","Environment1","City2","Environment2","Pair_type"
"Barcelona_Sewage","Sofia_Sewage",39,15,19,0.465753424657534,0.434782608695652,0.0309708159618821,"Barcelona","Sewage","Sofia","Sewage","Sewage-Sewage"
"Barcelona_Sewage","Taipei_Sewage",42,12,161,0.804651162790698,0.363636363636364,0.441014799154334,"Barcelona","Sewage","Taipei","Sewage","Sewage-Sewage"
"Barcelona_Sewage","Vienna_Sewage",38,16,52,0.641509433962264,0.457142857142857,0.184366576819407,"Barcelona","Sewage","Vienna","Sewage","Sewage-Sewage"
"Barcelona_Sewage","Bogota_Sewage",26,28,156,0.876190476190476,0.682926829268293,0.193263646922183,"Barcelona","Sewage","Bogota","Sewage","Sewage-Sewage"
"Barcelona_Sewage","Hanoi_Sewage",36,18,177,0.844155844155844,0.5,0.344155844155844,"Barcelona","Sewage","Hanoi","Sewage","Sewage-Sewage"
"Barcelona_Sewage","Ilorin_Sewage",24,30,41,0.747368421052632,0.714285714285714,0.0330827067669173,"Barcelona","Sewage","Ilorin","Sewage","Sewage-Sewage"
"Barcelona_Sewage","Kuala_Lumpur_Sewage",38,16,136,0.8,0.457142857142857,0.342857142857143,"Barcelona","Sewage","Kuala_Lumpur","Sewage","Sewage-Sewage"
"Barcelona_Sewage","Oslo_Sewage",33,21,15,0.521739130434783,0.476190476190476,0.0455486542443064,"Barcelona","Sewage","Oslo","Sewage","Sewage-Sewage"
"Barcelona_Sewage","Rio_de_Janeiro_Sewage",24,30,40,0.74468085106383,0.714285714285714,0.0303951367781155,"Barcelona","Sewage","Rio_de_Janeiro","Sewage","Sewage-Sewage"
"Barcelona_Sewage","Barcelona_Transit",8,46,5,0.864406779661017,0.555555555555556,0.308851224105461,"Barcelona","Sewage","Barcelona","Transit","Sewage-Transit"
"Barcelona_Sewage","Berlin_Transit",8,46,17,0.887323943661972,0.80952380952381,0.0778001341381623,"Barcelona","Sewage","Berlin","Transit","Sewage-Transit"
"Barcelona_Sewage","Bogota_Transit",12,42,11,0.815384615384615,0.647058823529412,0.168325791855204,"Barcelona","Sewage","Bogota","Transit","Sewage-Transit"
"Barcelona_Sewage","Hanoi_Transit",18,36,48,0.823529411764706,0.8,0.0235294117647058,"Barcelona","Sewage","Hanoi","Transit","Sewage-Transit"
"Barcelona_Sewage","Hong_Kong_Transit",15,39,18,0.791666666666667,0.705882352941177,0.0857843137254901,"Barcelona","Sewage","Hong_Kong","Transit","Sewage-Transit"
"Barcelona_Sewage","Ilorin_Transit",22,32,26,0.725,0.702702702702703,0.0222972972972972,"Barcelona","Sewage","Ilorin","Transit","Sewage-Transit"
"Barcelona_Sewage","Kuala_Lumpur_Transit",18,36,53,0.831775700934579,0.8,0.0317757009345794,"Barcelona","Sewage","Kuala_Lumpur","Transit","Sewage-Transit"
"Barcelona_Sewage","Lisbon_Transit",11,43,14,0.838235294117647,0.717948717948718,0.120286576168929,"Barcelona","Sewage","Lisbon","Transit","Sewage-Transit"
"Barcelona_Sewage","Oslo_Transit",10,44,6,0.833333333333333,0.545454545454545,0.287878787878788,"Barcelona","Sewage","Oslo","Transit","Sewage-Transit"
"Barcelona_Sewage","Porto_Transit",11,43,6,0.816666666666667,0.521739130434783,0.294927536231884,"Barcelona","Sewage","Porto","Transit","Sewage-Transit"
"Barcelona_Sewage","Rio_de_Janeiro_Transit",18,36,20,0.756756756756757,0.689655172413793,0.0671015843429636,"Barcelona","Sewage","Rio_de_Janeiro","Transit","Sewage-Transit"
"Barcelona_Sewage","Santiago_Transit",6,48,5,0.898305084745763,0.625,0.273305084745763,"Barcelona","Sewage","Santiago","Transit","Sewage-Transit"
"Barcelona_Sewage","Singapore_Transit",10,44,4,0.827586206896552,0.444444444444444,0.383141762452107,"Barcelona","Sewage","Singapore","Transit","Sewage-Transit"
"Barcelona_Sewage","Sofia_Transit",16,38,17,0.774647887323944,0.68,0.0946478873239436,"Barcelona","Sewage","Sofia","Transit","Sewage-Transit"
"Barcelona_Sewage","Taipei_Transit",14,40,16,0.8,0.695652173913043,0.104347826086957,"Barcelona","Sewage","Taipei","Transit","Sewage-Transit"
"Barcelona_Sewage","Vienna_Transit",14,40,21,0.813333333333333,0.75,0.0633333333333334,"Barcelona","Sewage","Vienna","Transit","Sewage-Transit"
"Berlin_Sewage","Hong_Kong_Sewage",58,10,179,0.765182186234818,0.256410256410256,0.508771929824561,"Berlin","Sewage","Hong_Kong","Sewage","Sewage-Sewage"
"Berlin_Sewage","Porto_Sewage",44,24,45,0.610619469026549,0.521739130434783,0.088880338591766,"Berlin","Sewage","Porto","Sewage","Sewage-Sewage"
"Berlin_Sewage","Santiago_Sewage",37,31,40,0.657407407407407,0.626262626262626,0.0311447811447811,"Berlin","Sewage","Santiago","Sewage","Sewage-Sewage"
"Berlin_Sewage","Singapore_Sewage",58,10,179,0.765182186234818,0.256410256410256,0.508771929824561,"Berlin","Sewage","Singapore","Sewage","Sewage-Sewage"
"Berlin_Sewage","Sofia_Sewage",35,33,23,0.615384615384615,0.567901234567901,0.0474833808167142,"Berlin","Sewage","Sofia","Sewage","Sewage-Sewage"
"Berlin_Sewage","Taipei_Sewage",54,14,149,0.751152073732719,0.341463414634146,0.409688659098572,"Berlin","Sewage","Taipei","Sewage","Sewage-Sewage"
"Berlin_Sewage","Vienna_Sewage",45,23,45,0.601769911504425,0.505494505494505,0.0962754060099194,"Berlin","Sewage","Vienna","Sewage","Sewage-Sewage"
"Berlin_Sewage","Bogota_Sewage",42,26,140,0.798076923076923,0.553191489361702,0.244885433715221,"Berlin","Sewage","Bogota","Sewage","Sewage-Sewage"
"Berlin_Sewage","Hanoi_Sewage",51,17,162,0.778260869565217,0.4,0.378260869565217,"Berlin","Sewage","Hanoi","Sewage","Sewage-Sewage"
"Berlin_Sewage","Ilorin_Sewage",28,40,37,0.733333333333333,0.725490196078431,0.00784313725490193,"Berlin","Sewage","Ilorin","Sewage","Sewage-Sewage"
"Berlin_Sewage","Kuala_Lumpur_Sewage",50,18,124,0.739583333333333,0.418604651162791,0.320978682170543,"Berlin","Sewage","Kuala_Lumpur","Sewage","Sewage-Sewage"
"Berlin_Sewage","Oslo_Sewage",27,41,21,0.696629213483146,0.608695652173913,0.087933561309233,"Berlin","Sewage","Oslo","Sewage","Sewage-Sewage"
"Berlin_Sewage","Rio_de_Janeiro_Sewage",30,38,34,0.705882352941177,0.693877551020408,0.0120048019207684,"Berlin","Sewage","Rio_de_Janeiro","Sewage","Sewage-Sewage"
"Berlin_Sewage","Barcelona_Transit",9,59,4,0.875,0.470588235294118,0.404411764705882,"Berlin","Sewage","Barcelona","Transit","Sewage-Transit"
"Berlin_Sewage","Berlin_Transit",9,59,16,0.892857142857143,0.780487804878049,0.112369337979094,"Berlin","Sewage","Berlin","Transit","Sewage-Transit"
"Berlin_Sewage","Bogota_Transit",13,55,10,0.833333333333333,0.606060606060606,0.227272727272727,"Berlin","Sewage","Bogota","Transit","Sewage-Transit"
"Berlin_Sewage","Hanoi_Transit",20,48,46,0.824561403508772,0.821428571428571,0.00313283208020054,"Berlin","Sewage","Hanoi","Transit","Sewage-Transit"
"Berlin_Sewage","Hong_Kong_Transit",16,52,17,0.811764705882353,0.68,0.131764705882353,"Berlin","Sewage","Hong_Kong","Transit","Sewage-Transit"
"Berlin_Sewage","Ilorin_Transit",23,45,25,0.752688172043011,0.684931506849315,0.0677566651936957,"Berlin","Sewage","Ilorin","Transit","Sewage-Transit"
"Berlin_Sewage","Kuala_Lumpur_Transit",23,45,48,0.801724137931034,0.79646017699115,0.00526396093988402,"Berlin","Sewage","Kuala_Lumpur","Transit","Sewage-Transit"
"Berlin_Sewage","Lisbon_Transit",13,55,12,0.8375,0.648648648648649,0.188851351351351,"Berlin","Sewage","Lisbon","Transit","Sewage-Transit"
"Berlin_Sewage","Oslo_Transit",11,57,5,0.849315068493151,0.476190476190476,0.373124592302674,"Berlin","Sewage","Oslo","Transit","Sewage-Transit"
"Berlin_Sewage","Porto_Transit",13,55,4,0.819444444444444,0.380952380952381,0.438492063492063,"Berlin","Sewage","Porto","Transit","Sewage-Transit"
"Berlin_Sewage","Rio_de_Janeiro_Transit",18,50,20,0.795454545454545,0.689655172413793,0.105799373040752,"Berlin","Sewage","Rio_de_Janeiro","Transit","Sewage-Transit"
