feature	Lisbon	Barcelona	Berlin	Hong_Kong	Porto	Santiago	Singapore	Sofia	Taipei	Vienna	Bogota	Hanoi	Ilorin	Kuala_Lumpur	Oslo	Rio_de_Janeiro
Phenicol resistance MFS efflux pumps,FLOR	0	0	0	0	0	0	40	0	28	0	0	119	34	0	0	0
Phenolic resistance protein,FABI	0	0	6	19	0	0	22	0	8	12	0	15	0	0	0	0
Quinolone resistance protein Qnr,QNRS	4	0	0	58	0	0	20	0	0	0	0	0	0	11	0	7
Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB	0	0	0	362	241	694	611	227	87	401	213	2344	0	221	0	0
Sodium resistance protein,CHAA	0	0	0	33	0	0	0	0	15	0	17	24	0	15	0	0
Sodium resistance protein,NHAA	0	0	0	30	0	0	32	0	19	11	46	19	0	15	0	0
Sodium resistance protein,NHAB	0	0	0	37	0	0	40	0	0	0	48	21	0	0	0	0
Sulfonamide-resistant dihydropteroate synthases,FOLP	0	0	0	52	0	0	55	0	43	30	26	35	15	19	0	9
Sulfonamide-resistant dihydropteroate synthases,SULI	0	0	0	0	0	0	0	0	0	0	0	97	139	0	0	0
Sulfonamide-resistant dihydropteroate synthases,SULII	0	0	0	6	0	0	6	0	0	0	0	64	16	0	0	0
Tetracycline inactivation enzymes,TETX	0	0	0	50	0	0	0	16	231	0	0	0	0	0	0	0
Tetracycline resistance MFS efflux pumps,TET39	119	30	0	20	66	38	145	177	292	54	0	572	0	74	94	0
Tetracycline resistance MFS efflux pumps,TETA	0	0	0	0	0	0	0	0	0	0	0	138	14	0	0	0
Tetracycline resistance MFS efflux pumps,TETC	18	0	0	0	0	0	57	0	0	0	48	0	150	11	0	12
Tetracycline resistance MFS efflux pumps,TETG	0	0	0	0	0	0	14	0	0	0	0	118	14	0	0	0
Tetracycline resistance ribosomal protection proteins,TET32	0	0	0	0	0	0	30	0	31	0	35	0	116	44	0	41
Tetracycline resistance ribosomal protection proteins,TET36	0	0	0	0	0	0	0	0	30	0	0	0	51	0	0	0
Tetracycline resistance ribosomal protection proteins,TETQ	0	0	39	71	0	27	0	50	26	44	40	0	162	0	65	36
Tetracycline resistance ribosomal protection proteins,TETW	0	0	0	0	0	16	0	0	0	23	83	0	0	22	0	0
Tetracycline transcriptional repressor,TETR	64	25	15	34	47	18	157	92	223	44	40	448	91	65	47	0
Tetracycline-resistant 16S ribosomal subunit protein,TET16S	63	0	75	0	0	0	0	0	57	74	0	0	0	67	0	0
Triclosan-resistant mutation,FABG	18	0	0	38	0	0	36	0	17	7	14	37	0	0	0	9
Undecaprenyl pyrophosphate phosphatase,BACA	0	0	0	18	0	0	20	0	0	0	29	8	0	7	0	0
Zinc resistance protein,ZITB	0	0	0	21	0	0	26	0	15	0	32	18	0	9	0	0
Zinc resistance protein,ZNUA	0	0	0	15	0	0	17	0	0	10	0	0	0	0	0	0
Zinc resistance protein,ZNUB	6	0	0	19	0	0	16	0	16	0	0	18	0	12	0	0
Zinc resistance protein,ZNUC	7	0	0	17	0	0	14	0	11	0	19	17	0	6	0	0
Zinc resistance regulator,ZNTR	0	0	0	13	3	0	9	0	0	0	10	11	0	10	0	0
Zinc resistance regulator,ZRAR	0	0	0	30	0	0	45	0	41	0	44	31	0	21	0	0
Zinc resistance regulator,ZUR	0	0	0	22	0	0	19	6	0	0	0	8	0	12	0	0
peroxide resistance protein,SODA	0	0	0	38	0	0	37	0	10	0	7	3	0	21	0	9
peroxide resistance protein,SODB	9	0	0	15	17	126	52	46	10	0	12	103	6	6	0	5
peroxide resistance protein,YDEI	0	0	0	0	0	0	0	0	3	0	5	8	0	0	0	0
