feature	Barcelona	Berlin	Bogota	Hanoi	Hong_Kong	Ilorin	Kuala_Lumpur	Lisbon	Oslo	Porto	Rio_de_Janeiro	Santiago	Singapore	Sofia	Taipei	Vienna
Fosfomycin target mutation,UHPT	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	16
Fosfomycin thiol transferases,FOSA	0	4	0	15	0	74	75	0	0	0	0	0	0	0	0	0
Fusidic acid-resistant mutation,FUSA	0	114	0	0	0	0	0	54	0	0	26	0	0	0	0	0
Lead P-type ATPase transporter,PBRA	0	0	0	0	33	0	0	0	0	0	0	0	32	41	53	0
Lead P-type ATPase transporter,PBRB	0	0	0	0	23	0	0	0	0	0	0	0	0	0	41	19
Lead P-type ATPase transporter,PBRD	0	0	0	0	8	0	0	0	19	0	0	0	0	21	19	11
Lincosamide nucleotidyltransferases,LNUA	0	0	0	34	0	13	0	18	0	0	0	0	0	0	0	0
Lipid A modification,EPTA	0	0	0	23	0	0	216	0	0	0	0	0	0	0	0	0
MLS resistance ABC efflux pumps,MSRD	0	33	0	0	0	21	0	0	0	38	18	0	0	0	0	0
MLS resistance ABC efflux pumps,MSRE	0	0	0	61	0	0	0	105	0	0	245	0	0	0	0	0
Macrolide phosphotransferases,MPHC	0	13	0	0	0	0	0	0	0	0	10	0	0	0	0	0
Macrolide phosphotransferases,MPHE	0	0	0	39	0	0	0	60	0	0	164	0	0	0	0	0
Macrolide-resistant 23S rRNA mutation,MLS23S	8142	2150	2698	4595	3047	12280	6063	12680	1179	2281	10901	1457	822	4125	632	1963
Mercury resistance protein,MERA	0	0	0	0	287	883	436	0	115	49	0	0	67	276	185	204
Mercury resistance protein,MERE	4	0	0	0	29	76	65	0	11	0	2	0	4	21	24	15
Mercury resistance protein,MERP	0	0	2	0	18	92	52	0	18	0	0	0	9	27	40	18
Mercury resistance protein,MERT	0	0	2	16	28	187	63	0	22	0	0	0	11	33	45	19
Mercury resistance regulator,MERD	0	0	0	3	60	126	95	0	17	0	0	0	4	45	18	25
Mercury resistance regulator,MERR	0	0	0	11	51	170	79	0	42	0	0	0	30	51	59	32
Mercury resistance regulator,MERR1	0	0	0	23	0	20	0	0	0	0	0	0	0	0	0	0
Multi-biocide resistance regulator,SOXRB	0	0	0	5	0	0	67	0	0	0	0	0	0	0	0	4
Multi-metal ABC efflux pumps,MODC	0	0	0	8	0	0	147	0	0	0	0	0	0	0	0	0
Multi-metal RND efflux pumps,CUSF	0	0	0	6	0	0	33	0	0	0	0	0	0	0	0	0
Multi-metal RND efflux pumps,CZCB	0	0	0	0	0	0	0	0	16	0	0	0	0	0	31	0
Multi-metal RND efflux pumps,CZCE	0	0	0	0	9	0	5	0	0	0	0	0	0	0	5	0
Multi-metal RND efflux pumps,CZCP	0	0	0	0	45	0	0	0	0	0	0	0	0	37	57	47
Multi-metal RND efflux pumps,SILA	0	0	0	0	0	0	0	42	0	151	0	0	0	0	0	0
Multi-metal RND efflux pumps,SILB	0	0	0	0	0	0	0	0	0	58	16	0	0	0	0	0
Multi-metal RND efflux pumps,SILF	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0
Multi-metal RND efflux pumps,SILP	0	0	0	0	0	0	0	31	0	121	0	0	0	0	0	0
Multi-metal RND efflux regulator,CZCD	0	0	0	0	0	0	10	0	0	0	0	0	0	18	24	11
Multi-metal resistance protein,CADD	0	29	0	0	0	0	0	0	0	0	17	0	0	0	0	0
Multi-metal resistance protein,DMEF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	17
Multi-metal resistance protein,FIEF	0	0	0	13	0	0	107	0	0	0	0	0	0	0	0	0
Multi-metal resistance protein,PITA	0	0	0	19	0	0	305	0	0	0	0	0	0	0	0	0
Multi-metal resistance protein,YGJH	0	0	0	7	0	0	63	0	0	0	0	0	0	0	0	0
Multi-metal resistance regulator,CADX	0	0	6	0	0	0	0	0	0	0	7	0	0	0	0	0
Mutant porin proteins,OMPFB	0	0	0	12	0	0	112	0	0	0	0	0	0	0	0	0
Nickel ABC efflux pumps,NIKA	0	0	0	29	0	0	277	0	0	0	0	0	0	0	0	0
Nickel ABC efflux pumps,NIKC	0	0	0	14	0	0	145	0	0	0	0	0	0	0	0	0
Oxazolidinone-resistant 23S rRNA mutation,O23S	477	1562	488	594	623	1080	578	2005	429	357	1625	424	0	811	237	926
Penicillin binding protein regulator,BLAI	0	23	8	0	0	0	0	20	0	0	15	3	0	0	0	0
Penicillin binding protein regulator,BLAR	0	73	19	0	0	0	0	98	0	0	27	0	0	0	0	0
Phenicol resistance MFS efflux pumps,CMX	0	0	0	187	37	0	0	0	0	0	0	0	0	15	0	14
Phenolic resistance protein,FABI	0	0	0	0	0	0	78	0	0	0	11	0	0	0	0	0
Pyrazinamide-resistant mutant,RPSA	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	30
Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB	0	220	43	206	0	2712	1944	1390	0	0	69	0	0	221	0	0
Sulfonamide-resistant dihydropteroate synthases,FOLP	0	25	0	57	9	18	400	0	0	0	16	0	0	0	0	0
Sulfonamide-resistant dihydropteroate synthases,SULI	0	0	0	59	0	90	0	0	0	0	0	0	0	0	0	0
Sulfonamide-resistant dihydropteroate synthases,SULII	0	0	0	8	0	13	0	0	0	0	531	0	0	0	0	0
Tellurium resistance protein,TERZ	0	0	0	31	0	0	45	0	0	0	0	0	0	0	0	0
Tetracycline resistance MFS efflux pumps,TETA	0	0	0	0	29	0	0	0	0	0	0	0	0	58	0	83
Tetracycline resistance MFS efflux pumps,TETK	0	12	11	0	0	0	0	0	0	0	0	0	0	0	0	0
Tetracycline transcriptional repressor,TETR	0	0	0	8	0	12	0	0	0	0	28	0	0	0	0	11
Tetracycline-resistant 16S ribosomal subunit protein,TET16S	584	864	475	461	1117	84	97	0	394	414	449	261	130	2254	234	1694
Zinc resistance protein,ZITB	0	0	0	15	0	0	107	0	0	0	0	0	0	0	0	0
Zinc resistance protein,ZNEB	0	0	0	0	11	0	0	0	0	0	0	0	0	14	31	0
Zinc resistance regulator,ZNTR	0	0	0	6	0	0	29	0	0	0	0	0	0	0	0	0
Zinc resistance regulator,ZRAR	0	0	0	17	0	0	121	0	0	0	0	0	0	0	0	0
peroxide resistance protein,SODA	0	0	0	0	0	15	221	0	0	0	0	0	0	0	0	0
peroxide resistance protein,SODB	0	0	0	0	0	122	175	80	0	0	0	0	0	0	0	6
