Comparison	n	median	Q1	Q3	IQR	min	max
Between-city
(Sewage vs Transit)	240	0.136363636363636	0.0821936215957955	0.186666666666667	0.104473045070871	0.029045643153527	0.292682926829268
Within-city
(Sewage vs Transit)	16	0.157711038961039	0.0720798836428732	0.200125865324103	0.12804598168123	0.0371900826446282	0.255555555555556
