profile_id	Barcelona_Sewage_2M	Berlin_Sewage_2M	Bogota_Sewage_2M	Hanoi_Sewage_2M	Hong_Kong_Sewage_2M	Ilorin_Sewage_2M	Kuala_Lumpur_Sewage_2M	Lisbon_Sewage_2M	Oslo_Sewage_2M	Porto_Sewage_2M	Rio_de_Janeiro_Sewage_2M	Santiago_Sewage_2M	Singapore_Sewage_2M	Sofia_Sewage_2M	Taipei_Sewage_2M	Vienna_Sewage_2M	Barcelona_Transit_5M	Berlin_Transit_5M	Bogota_Transit_5M	Hanoi_Transit_5M	Hong_Kong_Transit_5M	Ilorin_Transit_5M	Kuala_Lumpur_Transit_5M	Lisbon_Transit_5M	Oslo_Transit_5M	Porto_Transit_5M	Rio_de_Janeiro_Transit_5M	Santiago_Transit_5M	Singapore_Transit_5M	Sofia_Transit_5M	Taipei_Transit_5M	Vienna_Transit_5M
Barcelona_Sewage_2M	0	0.3846153846153846	0.6086956521739131	0.6896551724137931	0.6896551724137931	0.3636363636363636	0.5789473684210525	0.5294117647058824	0.19999999999999998	0.3076923076923077	0.5	0.5	0.6896551724137931	0.3846153846153846	0.5909090909090909	0.4	0.5833333333333334	0.6666666666666666	0.42857142857142855	0.7037037037037037	0.5789473684210525	0.6	0.7000000000000001	0.5625	0.5833333333333334	0.5714285714285715	0.5555555555555556	0.5454545454545454	0.5454545454545454	0.5294117647058824	0.5333333333333333	0.5789473684210525
Berlin_Sewage_2M	0.3846153846153846	0	0.6	0.6333333333333334	0.6333333333333334	0.5	0.5	0.5263157894736842	0.5	0.33333333333333337	0.3846153846153846	0.5882352941176471	0.6333333333333334	0.5	0.5833333333333334	0.5	0.6666666666666666	0.65	0.5294117647058824	0.5925925925925926	0.5714285714285715	0.5909090909090909	0.6	0.5555555555555556	0.6666666666666666	0.5625	0.5499999999999999	0.6428571428571429	0.7333333333333334	0.5263157894736842	0.5294117647058824	0.5714285714285715
Bogota_Sewage_2M	0.6086956521739131	0.6	0	0.2666666666666667	0.2666666666666667	0.6666666666666666	0.5862068965517241	0.5555555555555556	0.6666666666666666	0.56	0.6666666666666666	0.5416666666666666	0.2666666666666667	0.5416666666666666	0.39285714285714285	0.4799999999999999	0.8076923076923077	0.5925925925925926	0.6666666666666666	0.3103448275862069	0.5862068965517241	0.3846153846153846	0.2903225806451613	0.5769230769230769	0.8076923076923077	0.7407407407407407	0.5185185185185185	0.8	0.8	0.6071428571428571	0.6666666666666666	0.48148148148148145
Hanoi_Sewage_2M	0.6896551724137931	0.6333333333333334	0.2666666666666667	0	0.12903225806451613	0.6896551724137931	0.43333333333333335	0.5	0.6896551724137931	0.6	0.6896551724137931	0.5862068965517241	0.06666666666666667	0.5862068965517241	0.24137931034482762	0.4827586206896552	0.7666666666666667	0.5806451612903226	0.6	0.22580645161290322	0.48387096774193555	0.4	0.15625	0.5666666666666667	0.8064516129032258	0.6666666666666666	0.4666666666666667	0.8	0.8	0.5483870967741935	0.6875000000000001	0.48387096774193555
Hong_Kong_Sewage_2M	0.6896551724137931	0.6333333333333334	0.2666666666666667	0.12903225806451613	0	0.7333333333333334	0.3793103448275862	0.5	0.6896551724137931	0.6	0.6896551724137931	0.5862068965517241	0.06666666666666667	0.5862068965517241	0.3	0.4827586206896552	0.7666666666666667	0.5333333333333333	0.6	0.28125	0.53125	0.45161290322580644	0.0967741935483871	0.6129032258064516	0.8064516129032258	0.6666666666666666	0.5161290322580645	0.8	0.8	0.59375	0.6451612903225806	0.53125
Ilorin_Sewage_2M	0.3636363636363636	0.5	0.6666666666666666	0.6896551724137931	0.7333333333333334	0	0.65	0.6111111111111112	0.5	0.42857142857142855	0.5	0.6	0.6896551724137931	0.5	0.5909090909090909	0.5	0.5833333333333334	0.6666666666666666	0.625	0.7037037037037037	0.5789473684210525	0.6	0.7000000000000001	0.6470588235294118	0.6923076923076924	0.5714285714285715	0.631578947368421	0.5454545454545454	0.5454545454545454	0.5294117647058824	0.625	0.5789473684210525
Kuala_Lumpur_Sewage_2M	0.5789473684210525	0.5	0.5862068965517241	0.43333333333333335	0.3793103448275862	0.65	0	0.38095238095238093	0.5	0.5238095238095238	0.5	0.5714285714285715	0.43333333333333335	0.5	0.4	0.42857142857142855	0.631578947368421	0.5	0.45000000000000007	0.4827586206896552	0.5	0.52	0.45161290322580644	0.5454545454545454	0.7000000000000001	0.4736842105263158	0.4782608695652174	0.6842105263157895	0.6842105263157895	0.5217391304347826	0.5238095238095238	0.5
Lisbon_Sewage_2M	0.5294117647058824	0.5263157894736842	0.5555555555555556	0.5	0.5	0.6111111111111112	0.38095238095238093	0	0.43750000000000006	0.3888888888888889	0.5294117647058824	0.4444444444444445	0.5	0.35294117647058826	0.34782608695652173	0.27777777777777773	0.5882352941176471	0.5238095238095238	0.3888888888888889	0.5	0.45454545454545453	0.4782608695652174	0.4666666666666667	0.4210526315789474	0.6666666666666666	0.4117647058823529	0.35	0.6470588235294118	0.6470588235294118	0.47619047619047616	0.5499999999999999	0.38095238095238093
Oslo_Sewage_2M	0.19999999999999998	0.5	0.6666666666666666	0.6896551724137931	0.6896551724137931	0.5	0.5	0.43750000000000006	0	0.3076923076923077	0.5	0.3846153846153846	0.6896551724137931	0.3846153846153846	0.5909090909090909	0.4	0.45454545454545453	0.5882352941176471	0.3076923076923077	0.6538461538461539	0.5	0.6	0.7000000000000001	0.4666666666666667	0.5833333333333334	0.4615384615384615	0.47058823529411764	0.5454545454545454	0.5454545454545454	0.43750000000000006	0.5333333333333333	0.5789473684210525
Porto_Sewage_2M	0.3076923076923077	0.33333333333333337	0.56	0.6	0.6	0.42857142857142855	0.5238095238095238	0.3888888888888889	0.3076923076923077	0	0.5333333333333333	0.43750000000000006	0.6	0.43750000000000006	0.4782608695652174	0.35294117647058826	0.5	0.5263157894736842	0.375	0.5555555555555556	0.45000000000000007	0.47619047619047616	0.5666666666666667	0.4117647058823529	0.6	0.4	0.4210526315789474	0.5714285714285715	0.6666666666666666	0.3888888888888889	0.47058823529411764	0.5238095238095238
