profile_id	city	environment	depth	comparison	level	level_label	PCoA1	PCoA2
Barcelona_Sewage_3M	Barcelona	Sewage	3M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	-0.2897634782247452	0.2917816354244614
Berlin_Sewage_3M	Berlin	Sewage	3M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	-0.08136176956566682	0.22577537866943317
Bogota_Sewage_3M	Bogota	Sewage	3M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	0.4303283995090049	0.017444517966553098
Hanoi_Sewage_3M	Hanoi	Sewage	3M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	0.4414046739706041	-0.09858966791659042
Hong_Kong_Sewage_3M	Hong_Kong	Sewage	3M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	0.4316265783914338	-0.09998025678258744
Ilorin_Sewage_3M	Ilorin	Sewage	3M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	0.05007953160297811	0.20016204907286678
Kuala_Lumpur_Sewage_3M	Kuala_Lumpur	Sewage	3M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	0.35991055068626987	-0.11775877510372956
Lisbon_Sewage_3M	Lisbon	Sewage	3M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	0.08355464394953177	0.203727573453045
Oslo_Sewage_3M	Oslo	Sewage	3M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	-0.32277987119331414	0.25128026579019513
Porto_Sewage_3M	Porto	Sewage	3M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	0.08423898743172167	0.24821818268613843
Rio_de_Janeiro_Sewage_3M	Rio_de_Janeiro	Sewage	3M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	0.12870967432928224	0.08066099729708681
Santiago_Sewage_3M	Santiago	Sewage	3M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	0.08963219392015247	0.26571022086231044
Singapore_Sewage_3M	Singapore	Sewage	3M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	0.4503023776059944	-0.1340401171835969
Sofia_Sewage_3M	Sofia	Sewage	3M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	0.014455732903699605	0.31524998410784805
Taipei_Sewage_3M	Taipei	Sewage	3M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	0.33648655990909676	-0.04660889549886593
Vienna_Sewage_3M	Vienna	Sewage	3M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	0.1466942792133424	0.08257945232116995
Barcelona_Transit_5M	Barcelona	Transit	5M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	-0.4404796496779678	-0.19993767222512818
Berlin_Transit_5M	Berlin	Transit	5M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	-0.051581825149944104	-0.22530595343353355
Bogota_Transit_5M	Bogota	Transit	5M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	-0.2618627215544007	-0.008982056651793096
Hanoi_Transit_5M	Hanoi	Transit	5M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	0.27819951971387546	-0.1809031160810388
Hong_Kong_Transit_5M	Hong_Kong	Transit	5M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	-0.0919554433186172	-0.17324824533437716
Ilorin_Transit_5M	Ilorin	Transit	5M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	0.09658066270352425	-0.03768751431789103
Kuala_Lumpur_Transit_5M	Kuala_Lumpur	Transit	5M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	0.4090339336295407	-0.15878996800944822
Lisbon_Transit_5M	Lisbon	Transit	5M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	-0.10616584802045989	0.14148629800097076
Oslo_Transit_5M	Oslo	Transit	5M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	-0.48977169541811094	-0.25772186039701733
Porto_Transit_5M	Porto	Transit	5M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	-0.31425500584407917	-0.0710201764926018
Rio_de_Janeiro_Transit_5M	Rio_de_Janeiro	Transit	5M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	-0.0566138583271881	-0.04559009525904685
Santiago_Transit_5M	Santiago	Transit	5M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	-0.4583053643972223	-0.17485244198775476
Singapore_Transit_5M	Singapore	Transit	5M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	-0.3868703319025373	0.048957966208479184
Sofia_Transit_5M	Sofia	Transit	5M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	-0.1844919229479834	-0.147351073387487
Taipei_Transit_5M	Taipei	Transit	5M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	-0.2813423336328511	-0.21140969973768645
Vienna_Transit_5M	Vienna	Transit	5M	Sewage_3M_vs_Transit_5M	arg_class	ARG Drug Class	-0.013637180294963658	0.016743063939616516
