profile_id	city	environment	depth	comparison
Barcelona_Sewage_1M	Barcelona	Sewage	1M	Sewage_1M_vs_Transit_5M
Berlin_Sewage_1M	Berlin	Sewage	1M	Sewage_1M_vs_Transit_5M
Bogota_Sewage_1M	Bogota	Sewage	1M	Sewage_1M_vs_Transit_5M
Hanoi_Sewage_1M	Hanoi	Sewage	1M	Sewage_1M_vs_Transit_5M
Hong_Kong_Sewage_1M	Hong_Kong	Sewage	1M	Sewage_1M_vs_Transit_5M
Ilorin_Sewage_1M	Ilorin	Sewage	1M	Sewage_1M_vs_Transit_5M
Kuala_Lumpur_Sewage_1M	Kuala_Lumpur	Sewage	1M	Sewage_1M_vs_Transit_5M
Lisbon_Sewage_1M	Lisbon	Sewage	1M	Sewage_1M_vs_Transit_5M
Oslo_Sewage_1M	Oslo	Sewage	1M	Sewage_1M_vs_Transit_5M
Porto_Sewage_1M	Porto	Sewage	1M	Sewage_1M_vs_Transit_5M
Rio_de_Janeiro_Sewage_1M	Rio_de_Janeiro	Sewage	1M	Sewage_1M_vs_Transit_5M
Santiago_Sewage_1M	Santiago	Sewage	1M	Sewage_1M_vs_Transit_5M
Singapore_Sewage_1M	Singapore	Sewage	1M	Sewage_1M_vs_Transit_5M
Sofia_Sewage_1M	Sofia	Sewage	1M	Sewage_1M_vs_Transit_5M
Taipei_Sewage_1M	Taipei	Sewage	1M	Sewage_1M_vs_Transit_5M
Vienna_Sewage_1M	Vienna	Sewage	1M	Sewage_1M_vs_Transit_5M
Barcelona_Transit_5M	Barcelona	Transit	5M	Sewage_1M_vs_Transit_5M
Berlin_Transit_5M	Berlin	Transit	5M	Sewage_1M_vs_Transit_5M
Bogota_Transit_5M	Bogota	Transit	5M	Sewage_1M_vs_Transit_5M
Hanoi_Transit_5M	Hanoi	Transit	5M	Sewage_1M_vs_Transit_5M
Hong_Kong_Transit_5M	Hong_Kong	Transit	5M	Sewage_1M_vs_Transit_5M
Ilorin_Transit_5M	Ilorin	Transit	5M	Sewage_1M_vs_Transit_5M
Kuala_Lumpur_Transit_5M	Kuala_Lumpur	Transit	5M	Sewage_1M_vs_Transit_5M
Lisbon_Transit_5M	Lisbon	Transit	5M	Sewage_1M_vs_Transit_5M
Oslo_Transit_5M	Oslo	Transit	5M	Sewage_1M_vs_Transit_5M
Porto_Transit_5M	Porto	Transit	5M	Sewage_1M_vs_Transit_5M
Rio_de_Janeiro_Transit_5M	Rio_de_Janeiro	Transit	5M	Sewage_1M_vs_Transit_5M
Santiago_Transit_5M	Santiago	Transit	5M	Sewage_1M_vs_Transit_5M
Singapore_Transit_5M	Singapore	Transit	5M	Sewage_1M_vs_Transit_5M
Sofia_Transit_5M	Sofia	Transit	5M	Sewage_1M_vs_Transit_5M
Taipei_Transit_5M	Taipei	Transit	5M	Sewage_1M_vs_Transit_5M
Vienna_Transit_5M	Vienna	Transit	5M	Sewage_1M_vs_Transit_5M
