Comparison	n	median	Q1	Q3	IQR	min	max
Between-city
(Sewage vs Transit)	240	0.424242424242424	0.32258064516129	0.52	0.19741935483871	0.171428571428571	0.852941176470588
Within-city
(Sewage vs Transit)	16	0.434873949579832	0.354395604395604	0.505760368663595	0.15136476426799	0.181818181818182	0.794117647058823
