covariate,temp_june_c,humidity_june,precipitation_june,gdp_pc,sanitation,wastewater,population,pop_density,elevation_m
temp_june_c,1,0.726470588235294,0.5558823529411764,-0.055923488281999716,0.08689258318959735,0.2060339041968411,0.2647058823529412,0.2647058823529412,0.05294117647058823
humidity_june,0.726470588235294,1,0.726470588235294,-0.3399559419247878,-0.3490430884056707,-0.19867555047552532,0.2794117647058823,-0.1323529411764706,0.20882352941176469
precipitation_june,0.5558823529411764,0.726470588235294,1,-0.21192058717389367,-0.24742294874326023,-0.16482712335747288,0.5794117647058823,-0.13529411764705881,0.6058823529411764
gdp_pc,-0.055923488281999716,-0.3399559419247878,-0.21192058717389367,1,0.8194549019427129,0.752577319587629,-0.28991913661984064,0.29286247810836696,-0.1280353547508941
sanitation,0.08689258318959735,-0.3490430884056707,-0.24742294874326023,0.8194549019427129,1,0.9624173578571789,-0.18998547849928912,0.5228282547848655,-0.06480124848037769
wastewater,0.2060339041968411,-0.19867555047552532,-0.16482712335747288,0.752577319587629,0.9624173578571789,1,-0.15452542814763082,0.5106697482593132,-0.042678451583631365
population,0.2647058823529412,0.2794117647058823,0.5794117647058823,-0.28991913661984064,-0.18998547849928912,-0.15452542814763082,1,0.18823529411764706,0.4441176470588235
pop_density,0.2647058823529412,-0.1323529411764706,-0.13529411764705881,0.29286247810836696,0.5228282547848655,0.5106697482593132,0.18823529411764706,1,0.15588235294117644
elevation_m,0.05294117647058823,0.20882352941176469,0.6058823529411764,-0.1280353547508941,-0.06480124848037769,-0.042678451583631365,0.4441176470588235,0.15588235294117644,1
