feature	sewage_n	transit_n	sewage_prop	transit_prop	overall_n	overall_prop	prevalence_difference	strict_category	association_category
Multi-metal RND efflux pumps,CUSA	6	0	0.375	0	6	0.1875	-0.375	Sewage-specific	Sewage-specific
Multi-metal RND efflux pumps,SILC	6	0	0.375	0	6	0.1875	-0.375	Sewage-specific	Sewage-specific
Multi-metal RND efflux regulator,CUSS	6	0	0.375	0	6	0.1875	-0.375	Sewage-specific	Sewage-specific
Multi-metal RND efflux regulator,SILS	6	0	0.375	0	6	0.1875	-0.375	Sewage-specific	Sewage-specific
Multi-metal resistance protein,ARSBM	6	0	0.375	0	6	0.1875	-0.375	Sewage-specific	Sewage-specific
Multi-metal resistance regulator,PCOE	6	0	0.375	0	6	0.1875	-0.375	Sewage-specific	Sewage-specific
Nickel ABC efflux pumps,NIKA	8	2	0.5	0.125	10	0.3125	-0.375	Shared	Broadly shared
Nickel ABC efflux pumps,NIKB	6	0	0.375	0	6	0.1875	-0.375	Sewage-specific	Sewage-specific
Tetracycline resistance MFS efflux pumps,TETC	6	0	0.375	0	6	0.1875	-0.375	Sewage-specific	Sewage-specific
Tetracycline resistance ribosomal protection proteins,TET32	6	0	0.375	0	6	0.1875	-0.375	Sewage-specific	Sewage-specific
Zinc resistance protein,ZNUB	6	0	0.375	0	6	0.1875	-0.375	Sewage-specific	Sewage-specific
Acid resistance protein,EEFX	7	0	0.4375	0	7	0.21875	-0.4375	Sewage-specific	Sewage-specific
Acid resistance protein,HDEA	7	0	0.4375	0	7	0.21875	-0.4375	Sewage-specific	Sewage-specific
Arsenic resistance protein,PSTC	10	3	0.625	0.1875	13	0.40625	-0.4375	Shared	Broadly shared
Biocide and metal resistance protein,YGIW	7	0	0.4375	0	7	0.21875	-0.4375	Sewage-specific	Sewage-specific
Copper resistance protein,CUEO	7	0	0.4375	0	7	0.21875	-0.4375	Sewage-specific	Sewage-specific
Copper resistance protein,CUTE	7	0	0.4375	0	7	0.21875	-0.4375	Sewage-specific	Sewage-specific
Copper resistance regulator,CUER	7	0	0.4375	0	7	0.21875	-0.4375	Sewage-specific	Sewage-specific
Copper resistance regulator,PCOR	7	0	0.4375	0	7	0.21875	-0.4375	Sewage-specific	Sewage-specific
Drug and biocide ABC efflux pumps,YOGI	7	0	0.4375	0	7	0.21875	-0.4375	Sewage-specific	Sewage-specific
Drug and biocide RND efflux pumps,ACRE	7	0	0.4375	0	7	0.21875	-0.4375	Sewage-specific	Sewage-specific
Drug and biocide RND efflux pumps,MDTO	7	0	0.4375	0	7	0.21875	-0.4375	Sewage-specific	Sewage-specific
Drug and biocide RND efflux regulator,ACRR	9	2	0.5625	0.125	11	0.34375	-0.4375	Shared	Broadly shared
Drug and biocide RND efflux regulator,CPXAR	9	2	0.5625	0.125	11	0.34375	-0.4375	Shared	Broadly shared
Drug and biocide SMR efflux pumps,QACF	9	2	0.5625	0.125	11	0.34375	-0.4375	Shared	Broadly shared
Drug and biocide SMR efflux pumps,QACL	7	0	0.4375	0	7	0.21875	-0.4375	Sewage-specific	Sewage-specific
Drug and biocide and metal RND efflux pumps,MDTA	7	0	0.4375	0	7	0.21875	-0.4375	Sewage-specific	Sewage-specific
Drug and biocide and metal RND efflux regulator,BAER	7	0	0.4375	0	7	0.21875	-0.4375	Sewage-specific	Sewage-specific
Fosfomycin target mutation,GLPT	7	0	0.4375	0	7	0.21875	-0.4375	Sewage-specific	Sewage-specific
Fosfomycin target mutation,PTSL	10	3	0.625	0.1875	13	0.40625	-0.4375	Shared	Broadly shared
MLS resistance ABC efflux pumps,MSRD	11	4	0.6875	0.25	15	0.46875	-0.4375	Shared	Broadly shared
Mercury resistance protein,MERA	16	9	1	0.5625	25	0.78125	-0.4375	Shared	Broadly shared
Mercury resistance regulator,MERD	16	9	1	0.5625	25	0.78125	-0.4375	Shared	Broadly shared
Multi-drug ABC efflux pumps,LSAE	7	0	0.4375	0	7	0.21875	-0.4375	Sewage-specific	Sewage-specific
Multi-drug ABC efflux pumps,MSBA	7	0	0.4375	0	7	0.21875	-0.4375	Sewage-specific	Sewage-specific
Multi-drug RND efflux pumps,HNS	7	0	0.4375	0	7	0.21875	-0.4375	Sewage-specific	Sewage-specific
Multi-drug RND efflux regulator,ASMA	7	0	0.4375	0	7	0.21875	-0.4375	Sewage-specific	Sewage-specific
Multi-metal ABC efflux pumps,MODA	7	0	0.4375	0	7	0.21875	-0.4375	Sewage-specific	Sewage-specific
Multi-metal RND efflux pumps,CUSB	7	0	0.4375	0	7	0.21875	-0.4375	Sewage-specific	Sewage-specific
Multi-metal RND efflux pumps,SILE	7	0	0.4375	0	7	0.21875	-0.4375	Sewage-specific	Sewage-specific
Multi-metal RND efflux regulator,CUSR	7	0	0.4375	0	7	0.21875	-0.4375	Sewage-specific	Sewage-specific
Multi-metal resistance protein,ARSRM	7	0	0.4375	0	7	0.21875	-0.4375	Sewage-specific	Sewage-specific
Multi-metal resistance protein,MNTR	7	0	0.4375	0	7	0.21875	-0.4375	Sewage-specific	Sewage-specific
Multi-metal resistance protein,RCNA	7	0	0.4375	0	7	0.21875	-0.4375	Sewage-specific	Sewage-specific
Multi-metal resistance protein,ZNTA	7	0	0.4375	0	7	0.21875	-0.4375	Sewage-specific	Sewage-specific
Sodium resistance protein,NHAA	7	0	0.4375	0	7	0.21875	-0.4375	Sewage-specific	Sewage-specific
Zinc resistance protein,ZNUC	7	0	0.4375	0	7	0.21875	-0.4375	Sewage-specific	Sewage-specific
Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME	12	4	0.75	0.25	16	0.5	-0.5	Shared	Sewage-associated
Aminoglycoside efflux pumps,KDPE	8	0	0.5	0	8	0.25	-0.5	Sewage-specific	Sewage-specific
Biocide and metal resistance protein,TEHB	8	0	0.5	0	8	0.25	-0.5	Sewage-specific	Sewage-specific
Copper resistance protein,PCOB	8	0	0.5	0	8	0.25	-0.5	Sewage-specific	Sewage-specific
Copper resistance protein,PCOD	8	0	0.5	0	8	0.25	-0.5	Sewage-specific	Sewage-specific
Copper resistance regulator,COPR	10	2	0.625	0.125	12	0.375	-0.5	Shared	Sewage-associated
Drug and biocide RND efflux pumps,ACRB	10	2	0.625	0.125	12	0.375	-0.5	Shared	Sewage-associated
Drug and biocide RND efflux pumps,MDTE	8	0	0.5	0	8	0.25	-0.5	Sewage-specific	Sewage-specific
Drug and biocide RND efflux pumps,MDTP	10	2	0.625	0.125	12	0.375	-0.5	Shared	Sewage-associated
Drug and biocide RND efflux regulator,GADX	8	0	0.5	0	8	0.25	-0.5	Sewage-specific	Sewage-specific
Fosfomycin target mutation,UHPT	10	2	0.625	0.125	12	0.375	-0.5	Shared	Sewage-associated
Lipid A modification,PMRF	8	0	0.5	0	8	0.25	-0.5	Sewage-specific	Sewage-specific
MLS resistance MFS efflux pumps,MEFA	8	0	0.5	0	8	0.25	-0.5	Sewage-specific	Sewage-specific
Macrolide phosphotransferases,MPHB	8	0	0.5	0	8	0.25	-0.5	Sewage-specific	Sewage-specific
Multi-biocide resistance protein,YJCG	8	0	0.5	0	8	0.25	-0.5	Sewage-specific	Sewage-specific
Multi-metal resistance protein,FIEF	10	2	0.625	0.125	12	0.375	-0.5	Shared	Sewage-associated
Multi-metal resistance protein,MNTH	8	0	0.5	0	8	0.25	-0.5	Sewage-specific	Sewage-specific
Penicillin binding protein,PBP2	8	0	0.5	0	8	0.25	-0.5	Sewage-specific	Sewage-specific
Triclosan-resistant mutation,FABG	8	0	0.5	0	8	0.25	-0.5	Sewage-specific	Sewage-specific
peroxide resistance protein,SODB	12	4	0.75	0.25	16	0.5	-0.5	Shared	Sewage-associated
Acetate resistance protein,LPDT	9	0	0.5625	0	9	0.28125	-0.5625	Sewage-specific	Sewage-specific
Copper resistance protein,PCOA	9	0	0.5625	0	9	0.28125	-0.5625	Sewage-specific	Sewage-specific
Copper resistance regulator,PCOS	9	0	0.5625	0	9	0.28125	-0.5625	Sewage-specific	Sewage-specific
Drug and biocide RND efflux pumps,MDTF	9	0	0.5625	0	9	0.28125	-0.5625	Sewage-specific	Sewage-specific
Drug and biocide RND efflux pumps,MDTN	9	0	0.5625	0	9	0.28125	-0.5625	Sewage-specific	Sewage-specific
Drug and biocide and metal resistance regulator,SOXS	9	0	0.5625	0	9	0.28125	-0.5625	Sewage-specific	Sewage-specific
Fosfomycin target mutation,MURA	9	0	0.5625	0	9	0.28125	-0.5625	Sewage-specific	Sewage-specific
Multi-biocide resistance regulator,RPOS	9	0	0.5625	0	9	0.28125	-0.5625	Sewage-specific	Sewage-specific
Multi-metal RND efflux pumps,SILA	11	2	0.6875	0.125	13	0.40625	-0.5625	Shared	Sewage-associated
Multi-metal RND efflux pumps,SILP	11	2	0.6875	0.125	13	0.40625	-0.5625	Shared	Sewage-associated
Multi-metal resistance protein,ARSA	9	0	0.5625	0	9	0.28125	-0.5625	Sewage-specific	Sewage-specific
Multi-metal resistance protein,PITA	11	2	0.6875	0.125	13	0.40625	-0.5625	Shared	Sewage-associated
Nickel ABC efflux regulator,NIKR	9	0	0.5625	0	9	0.28125	-0.5625	Sewage-specific	Sewage-specific
Penicillin binding protein,AMPH	9	0	0.5625	0	9	0.28125	-0.5625	Sewage-specific	Sewage-specific
Peroxide resistance stress protein,IBPA	9	0	0.5625	0	9	0.28125	-0.5625	Sewage-specific	Sewage-specific
Peroxide resistance stress protein,IBPB	9	0	0.5625	0	9	0.28125	-0.5625	Sewage-specific	Sewage-specific
23S rRNA methyltransferases,ERMB	10	0	0.625	0	10	0.3125	-0.625	Sewage-specific	Sewage-specific
Aminocoumarin-resistant DNA topoisomerases,GYRBA	10	0	0.625	0	10	0.3125	-0.625	Sewage-specific	Sewage-specific
Arsenic resistance protein,PSTB	12	2	0.75	0.125	14	0.4375	-0.625	Shared	Sewage-associated
Copper resistance regulator,COPS	10	0	0.625	0	10	0.3125	-0.625	Sewage-specific	Sewage-specific
Drug and biocide SMR efflux pumps,QACEDELTA1	12	2	0.75	0.125	14	0.4375	-0.625	Shared	Sewage-associated
MLS resistance ABC efflux pumps,LSA	10	0	0.625	0	10	0.3125	-0.625	Sewage-specific	Sewage-specific
Macrolide esterases,ERED	10	0	0.625	0	10	0.3125	-0.625	Sewage-specific	Sewage-specific
Multi-metal RND efflux pumps,SILB	12	2	0.75	0.125	14	0.4375	-0.625	Shared	Sewage-associated
Tetracycline resistance ribosomal protection proteins,TETQ	10	0	0.625	0	10	0.3125	-0.625	Sewage-specific	Sewage-specific
Arsenic resistance protein,PSTA	11	0	0.6875	0	11	0.34375	-0.6875	Sewage-specific	Sewage-specific
Class A betalactamases,BLAA	11	0	0.6875	0	11	0.34375	-0.6875	Sewage-specific	Sewage-specific
Class C betalactamases,MCA	11	0	0.6875	0	11	0.34375	-0.6875	Sewage-specific	Sewage-specific
Copper resistance protein,COPA	14	3	0.875	0.1875	17	0.53125	-0.6875	Shared	Sewage-associated
Drug and biocide RND efflux regulator,CRP	11	0	0.6875	0	11	0.34375	-0.6875	Sewage-specific	Sewage-specific
Lincosamide nucleotidyltransferases,LNUC	11	0	0.6875	0	11	0.34375	-0.6875	Sewage-specific	Sewage-specific
Multi-metal RND efflux regulator,CZCC	11	0	0.6875	0	11	0.34375	-0.6875	Sewage-specific	Sewage-specific
Tetracycline transcriptional repressor,TETR	15	4	0.9375	0.25	19	0.59375	-0.6875	Shared	Sewage-associated
Class A betalactamases,CTX	16	4	1	0.25	20	0.625	-0.75	Shared	Sewage-associated
Macrolide phosphotransferases,MPHE	15	3	0.9375	0.1875	18	0.5625	-0.75	Shared	Sewage-associated
Tetracycline resistance MFS efflux pumps,TET39	12	0	0.75	0	12	0.375	-0.75	Sewage-specific	Sewage-specific
MLS resistance ABC efflux pumps,MSRE	16	3	1	0.1875	19	0.59375	-0.8125	Shared	Sewage-associated
MLS resistance MFS efflux pumps,MEFC	13	0	0.8125	0	13	0.40625	-0.8125	Sewage-specific	Sewage-specific
Aminoglycoside O-nucleotidyltransferases,ANT6	14	0	0.875	0	14	0.4375	-0.875	Sewage-specific	Sewage-specific
Mercury resistance protein,MERF	14	0	0.875	0	14	0.4375	-0.875	Sewage-specific	Sewage-specific
Macrolide phosphotransferases,MPHG	15	0	0.9375	0	15	0.46875	-0.9375	Sewage-specific	Sewage-specific
